iso3,country_name_canonical,region,income_group,is_primary_analysis_sample,sample_inclusion_category,inclusion_reason,is_chile_focal,is_ai_leader_sensitivity,is_large_ai_power_sensitivity,is_latam_peer_sensitivity,is_eu_laggard_sensitivity,is_eu_member_or_laggard_sensitivity,has_comparable_region_income,leave_group_region,leave_group_income,special_case_flag,notes
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,True,mvp_preregistered,Included in preregistered 43-country MVP sample,False,True,False,False,False,False,True,"Middle East, North Africa, Afghanistan & Pakistan",High income,none,Primary analysis sample; sensitivity flags only; particiones predictivas eliminadas.
SGP,Singapore,East Asia & Pacific,High income,True,mvp_preregistered,Included in preregistered 43-country MVP sample,False,True,False,False,False,False,True,East Asia & Pacific,High income,none,Primary analysis sample; sensitivity flags only; particiones predictivas eliminadas.
NOR,Norway,Europe & Central Asia,High income,True,mvp_preregistered,Included in preregistered 43-country MVP sample,False,False,False,False,False,False,True,Europe & Central Asia,High income,none,Primary analysis sample; sensitivity flags only; particiones predictivas eliminadas.
IRL,Ireland,Europe & Central Asia,High income,True,mvp_preregistered,Included in preregistered 43-country MVP sample,False,True,False,False,False,False,True,Europe & Central Asia,High income,none,Primary analysis sample; sensitivity flags only; particiones predictivas eliminadas.
FRA,France,Europe & Central Asia,High income,True,mvp_preregistered,Included in preregistered 43-country MVP sample,False,False,False,False,False,False,True,Europe & Central Asia,High income,none,Primary analysis sample; sensitivity flags only; particiones predictivas eliminadas.
ESP,Spain,Europe & Central Asia,High income,True,mvp_preregistered,Included in preregistered 43-country MVP sample,False,False,False,False,False,False,True,Europe & Central Asia,High income,none,Primary analysis sample; sensitivity flags only; particiones predictivas eliminadas.
NZL,New Zealand,East Asia & Pacific,High income,True,mvp_preregistered,Included in preregistered 43-country MVP sample,False,False,False,False,False,False,True,East Asia & Pacific,High income,none,Primary analysis sample; sensitivity flags only; particiones predictivas eliminadas.
NLD,Netherlands (Kingdom of the),Europe & Central Asia,High income,True,mvp_preregistered,Included in preregistered 43-country MVP sample,False,False,False,False,False,False,True,Europe & Central Asia,High income,none,Primary analysis sample; sensitivity flags only; particiones predictivas eliminadas.
GBR,United Kingdom,Europe & Central Asia,High income,True,mvp_preregistered,Included in preregistered 43-country MVP sample,False,False,False,False,False,False,True,Europe & Central Asia,High income,none,Primary analysis sample; sensitivity flags only; particiones predictivas eliminadas.
QAT,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",High income,True,mvp_preregistered,Included in preregistered 43-country MVP sample,False,False,False,False,False,False,True,"Middle East, North Africa, Afghanistan & Pakistan",High income,none,Primary analysis sample; sensitivity flags only; particiones predictivas eliminadas.
AUS,Australia,East Asia & Pacific,High income,True,mvp_preregistered,Included in preregistered 43-country MVP sample,False,False,False,False,False,False,True,East Asia & Pacific,High income,none,Primary analysis sample; sensitivity flags only; particiones predictivas eliminadas.
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income,True,mvp_preregistered,Included in preregistered 43-country MVP sample,False,True,False,False,False,False,True,"Middle East, North Africa, Afghanistan & Pakistan",High income,none,Primary analysis sample; sensitivity flags only; particiones predictivas eliminadas.
BEL,Belgium,Europe & Central Asia,High income,True,mvp_preregistered,Included in preregistered 43-country MVP sample,False,False,False,False,False,False,True,Europe & Central Asia,High income,none,Primary analysis sample; sensitivity flags only; particiones predictivas eliminadas.
CAN,Canada,North America,High income,True,mvp_preregistered,Included in preregistered 43-country MVP sample,False,False,False,False,False,False,True,North America,High income,none,Primary analysis sample; sensitivity flags only; particiones predictivas eliminadas.
CHE,Switzerland,Europe & Central Asia,High income,True,mvp_preregistered,Included in preregistered 43-country MVP sample,False,False,False,False,False,False,True,Europe & Central Asia,High income,none,Primary analysis sample; sensitivity flags only; particiones predictivas eliminadas.
SWE,Sweden,Europe & Central Asia,High income,True,mvp_preregistered,Included in preregistered 43-country MVP sample,False,False,False,False,False,False,True,Europe & Central Asia,High income,none,Primary analysis sample; sensitivity flags only; particiones predictivas eliminadas.
AUT,Austria,Europe & Central Asia,High income,True,mvp_preregistered,Included in preregistered 43-country MVP sample,False,False,False,False,False,False,True,Europe & Central Asia,High income,none,Primary analysis sample; sensitivity flags only; particiones predictivas eliminadas.
KOR,South Korea,East Asia & Pacific,High income,True,mvp_preregistered,Included in preregistered 43-country MVP sample,False,True,False,False,False,False,True,East Asia & Pacific,High income,none,Primary analysis sample; sensitivity flags only; particiones predictivas eliminadas.
HUN,Hungary,Europe & Central Asia,High income,True,mvp_preregistered,Included in preregistered 43-country MVP sample,False,False,False,False,False,False,True,Europe & Central Asia,High income,none,Primary analysis sample; sensitivity flags only; particiones predictivas eliminadas.
DNK,Denmark,Europe & Central Asia,High income,True,mvp_preregistered,Included in preregistered 43-country MVP sample,False,False,False,False,False,False,True,Europe & Central Asia,High income,none,Primary analysis sample; sensitivity flags only; particiones predictivas eliminadas.
DEU,Germany,Europe & Central Asia,High income,True,mvp_preregistered,Included in preregistered 43-country MVP sample,False,False,False,False,False,False,True,Europe & Central Asia,High income,none,Primary analysis sample; sensitivity flags only; particiones predictivas eliminadas.
POL,Poland,Europe & Central Asia,High income,True,mvp_preregistered,Included in preregistered 43-country MVP sample,False,False,False,False,False,False,True,Europe & Central Asia,High income,none,Primary analysis sample; sensitivity flags only; particiones predictivas eliminadas.
TWN,Taiwan,,,True,mvp_preregistered,Included in preregistered 43-country MVP sample,False,False,False,False,False,False,False,,,metadata_incomplete,Primary analysis sample; sensitivity flags only; particiones predictivas eliminadas.
CZE,Czech Republic,Europe & Central Asia,High income,True,mvp_preregistered,Included in preregistered 43-country MVP sample,False,False,False,False,False,False,True,Europe & Central Asia,High income,none,Primary analysis sample; sensitivity flags only; particiones predictivas eliminadas.
ITA,Italy,Europe & Central Asia,High income,True,mvp_preregistered,Included in preregistered 43-country MVP sample,False,False,False,False,False,False,True,Europe & Central Asia,High income,none,Primary analysis sample; sensitivity flags only; particiones predictivas eliminadas.
