country,oecd_ai_principles_2019,g20_ai_principles_2019,coe_drafters_2022,gpai_ministerial_declaration_2022,bletchley_declaration_2023,g7_hiroshima_ai_process_2023,seoul_ministerial_statement_2024,ai_action_summit_inclusive_2025
Vietnam,0,0,0,0,0,0,0,0
Uruguay,0,0,1,0,0,0,0,1
United States,1,1,1,1,1,1,1,0
United Kindom,1,1,1,1,1,1,1,0
United Arab Emirates,0,0,0,0,1,0,1,0
Turkey,1,1,1,1,1,0,1,0
Tunisia,0,0,0,0,0,0,0,0
Switzerland,1,0,1,0,1,0,1,1
Sweden,1,0,1,1,0,0,0,1
Sri Lanka,0,0,0,0,0,0,0,0
Spain,1,0,1,1,1,0,1,1
South Africa,0,1,0,0,0,0,0,0
Slovenia,1,0,1,1,0,0,0,1
Slovakia,1,0,1,0,0,0,0,1
Singapore,1,0,0,1,1,0,1,1
Saudi Arabia,0,1,0,0,1,0,1,0
Russian Federation,0,1,0,0,0,0,0,0
Republic of Korea,1,1,0,1,1,0,1,1
Qatar,0,0,0,0,0,0,0,0
Portugal,1,0,1,0,0,0,0,1
Pakistan,0,0,0,0,0,0,0,0
Norway,1,0,1,0,0,0,0,1
Nigeria,0,0,0,0,1,0,1,1
New Zealand,1,0,0,1,0,0,1,1
Netherlands,1,0,1,1,1,0,1,1
Morocco,0,0,0,0,0,0,0,1
Mexico,1,1,1,1,0,0,1,1
Malta,1,0,1,0,0,0,0,1
Malaysia,0,0,0,0,0,0,0,0
Luxembourg,1,0,1,0,0,0,0,1
Lithuania,1,0,1,0,0,0,0,1
Kenya,0,0,0,0,1,0,1,1
Japan,1,1,1,1,1,1,1,1
Italy,1,1,1,1,1,1,1,1
Israel,1,0,1,1,1,0,1,0
Ireland,1,0,1,1,1,0,0,1
Indonesia,0,1,0,0,1,0,1,1
India,0,1,0,1,1,0,1,1
Iceland,1,0,1,0,0,0,0,1
Hungary,1,0,1,0,0,0,0,1
Greece,1,0,1,0,0,0,0,1
Germany,1,1,1,1,1,1,1,1
France,1,1,1,1,1,1,1,1
Finland,1,0,1,0,0,0,0,1
European Union,0,1,1,1,1,0,1,1
Estonia,1,0,1,0,0,0,0,1
Egypt,1,0,0,0,0,0,0,1
Denmark,1,0,1,1,0,0,0,1
Colombia,1,0,0,0,0,0,0,1
China,0,1,0,0,1,0,0,1
Chile,1,0,0,0,1,0,1,1
Canada,1,1,1,1,1,1,1,1
Brazil,1,1,0,1,1,0,0,1
Belgium,1,0,1,1,0,0,0,1
Bahrain,0,0,0,0,0,0,0,0
Austria,1,0,1,0,0,0,0,1
Australia,1,1,1,1,1,0,1,1
Armenia,0,0,1,0,0,0,0,1
Argentina,1,1,1,1,0,0,1,0
