Country,Gender Equality
Zambia,0
Honduras,0
Haiti,0
Guyana,0
Guatemala,0
Ghana,0
Georgia,0
Gambia,0
Gabon,0
Eritrea,0
El Salvador,0
Democratic Republic of the Congo,0
Côte d'Ivoire,0
Hungary,0
Chad,0
Burundi,0
Burkina Faso,0
Botswana,0
Bolivia (Plurinational State of),0
Bhutan,0
Belarus,0
Barbados,0
Bahrain,0
Azerbaijan,0
Armenia,0
Algeria,0
Afghanistan,0
Central African Republic,0
Indonesia,0
Guinea,0
Lao People's Democratic Republic,0
Turkmenistan,0
Togo,0
Switzerland,0
South Sudan,0
Sierra Leone,0
Saint Lucia,0
Rwanda,0
Republic of Moldova,0
Jamaica,0
Peru,0
Paraguay,0
Palestine,0
Oman,0
Republic of Korea,0
Niger,0
Lesotho,0
Nigeria,0
Lithuania,0
Malawi,0
Mali,0
Liberia,0
Mongolia,0
Mauritius,0
New Zealand,0
Namibia,0
Uganda,0
Mozambique,0
Myanmar,0
Tajikistan,1.87
Uzbekistan,2.5
Cameroon,2.71
United Republic of Tanzania,3.8
China,4.48
Sri Lanka,4.74
Lebanon,4.9
Kosovo,4.9
Albania,5.36
Ethiopia,5.42
Poland,5.78
Antigua and Barbuda,6.09
Latvia,6.35
Thailand,6.46
Trinidad and Tobago,6.46
Slovakia,6.51
Vietnam,7.03
India,9.06
Somalia,9.25
Kenya,9.38
North Macedonia,10.42
Montenegro,10.83
Ecuador,10.83
Benin,11.46
Zimbabwe,11.61
Libya,12.59
Uruguay,13.02
Finland,13.33
Colombia,14.84
Jordan,15.08
Cambodia,15.3
"China, Hong Kong Special Administrative Region",15.8
Kyrgyz Republic,16.88
Dominican Republic,17.14
Egypt,17.15
Pakistan,17.78
Bulgaria,17.8
Serbia,18.28
South Africa,19.53
Senegal,20.22
Belize,20.4
Nepal,20.65
Panama,21.46
Slovenia,22.28
Singapore,23.44
Kazakhstan,23.46
Croatia,25.84
Kuwait,28.37
Malaysia,29.1
Tunisia,30.72
Ukraine,31
Mexico,32.09
Argentina,32.18
Morocco,32.38
Italy,32.42
Austria,32.82
Qatar,34.02
Spain,34.29
Costa Rica,34.85
Greece,35.3
Chile,35.38
Philippines,35.63
Taiwan,38.89
Estonia,40.06
United Arab Emirates,40.37
Brazil,40.53
Saudi Arabia,41.63
United States of America,43.08
Romania,44.31
Belgium,45.58
France,49.55
United Kingdom of Great Britain and Northern Ireland,51.57
Germany,62.44
Japan,63.57
Portugal,64.7
Ireland,83.44
Australia,83.49
Netherlands,84.47
Canada,95.99
