Country,Data Protection & Privacy
Uzbekistan,0
Guinea,0
Ghana,0
Gambia,0
Eritrea,0
El Salvador,0
Democratic Republic of the Congo,0
Côte d'Ivoire,0
Chad,0
Central African Republic,0
Guyana,0
Botswana,0
Bhutan,0
Belize,0
Barbados,0
Azerbaijan,0
Armenia,0
Antigua and Barbuda,0
Algeria,0
Albania,0
Afghanistan,0
Bolivia (Plurinational State of),0
Haiti,0
Burundi,0
Indonesia,0
Honduras,0
Uganda,0
Turkmenistan,0
Togo,0
South Sudan,0
Somalia,0
Sierra Leone,0
Saint Lucia,0
Nepal,0
Myanmar,0
Mozambique,0
United Republic of Tanzania,0
Mali,0
Malawi,0
Libya,0
Liberia,0
Lesotho,0
Lebanon,0
Lao People's Democratic Republic,0
Kyrgyz Republic,0
Kosovo,0
Mauritius,0
Belarus,1.82
Ethiopia,2.71
Kenya,4.69
Jamaica,6.3
Trinidad and Tobago,6.46
Ecuador,10.83
Cambodia,11.29
"China, Hong Kong Special Administrative Region",12.41
Zimbabwe,12.69
Egypt,13.36
Mongolia,13.89
Guatemala,14.17
Tajikistan,14.89
Jordan,15.08
Paraguay,16.72
Gabon,17.15
Cameroon,17.52
Rwanda,18.08
Niger,18.63
Burkina Faso,19.41
Zambia,19.76
Panama,21.46
Pakistan,21.64
Qatar,22.33
Oman,23.16
Kazakhstan,23.3
Singapore,23.44
Peru,23.89
Republic of Korea,24.07
Vietnam,25.54
Serbia,26.87
Dominican Republic,29.01
Nigeria,29.13
China,30.16
Sri Lanka,31.44
Palestine,31.58
Costa Rica,32.01
Kuwait,32.02
Republic of Moldova,32.94
Namibia,33.55
Colombia,34.19
Argentina,34.35
Tunisia,35.57
Belgium,36.25
Slovakia,38.59
Montenegro,39.07
Spain,39.14
Latvia,41.05
Greece,41.5
Saudi Arabia,41.63
Thailand,42.07
Brazil,46.26
Slovenia,46.44
Japan,47.24
Canada,47.37
India,47.94
Lithuania,48.22
New Zealand,51.35
Senegal,51.37
Ukraine,51.85
Malaysia,53.04
Mexico,54.1
Benin,55.13
Morocco,58.79
Philippines,61.06
Romania,61.22
Bahrain,63.44
Chile,64.63
Croatia,65.18
United States of America,66.16
Bulgaria,66.21
Georgia,66.98
North Macedonia,67.18
South Africa,68.26
Taiwan,69.75
Poland,71.89
Hungary,71.9
Austria,73.92
Switzerland,74.35
United Arab Emirates,78.08
Italy,79.01
Uruguay,80.92
Australia,83.49
Portugal,87.26
France,88.69
Finland,92.34
United Kingdom of Great Britain and Northern Ireland,92.64
Germany,93.7
Estonia,94.48
Ireland,96.11
Netherlands,97.31
