Year,Cumulative number of data localization measures,Label
2000,1,North America
2001,1,North America
2002,1,North America
2003,1,North America
2004,1,North America
2005,1,North America
2006,1,North America
2007,1,North America
2008,1,North America
2009,1,North America
2010,1,North America
2011,1,North America
2012,1,North America
2013,1,North America
2014,1,North America
2015,2,North America
2016,2,North America
2017,2,North America
2018,2,North America
2019,2,North America
2020,2,North America
2021,2,North America
2022,2,North America
2023,2,North America
2024,3,North America
2000,3,South Asia
2001,3,South Asia
2002,3,South Asia
2003,3,South Asia
2004,3,South Asia
2005,3,South Asia
2006,3,South Asia
2007,4,South Asia
2008,4,South Asia
2009,4,South Asia
2010,4,South Asia
2011,4,South Asia
2012,5,South Asia
2013,5,South Asia
2014,6,South Asia
2015,8,South Asia
2016,10,South Asia
2017,10,South Asia
2018,12,South Asia
2019,13,South Asia
2020,15,South Asia
2021,16,South Asia
2022,20,South Asia
2023,24,South Asia
2024,24,South Asia
2000,5,Latin America and Caribbean
2001,5,Latin America and Caribbean
2002,5,Latin America and Caribbean
2003,6,Latin America and Caribbean
2004,6,Latin America and Caribbean
2005,6,Latin America and Caribbean
2006,6,Latin America and Caribbean
2007,6,Latin America and Caribbean
2008,8,Latin America and Caribbean
2009,8,Latin America and Caribbean
2010,10,Latin America and Caribbean
2011,15,Latin America and Caribbean
2012,17,Latin America and Caribbean
2013,18,Latin America and Caribbean
2014,21,Latin America and Caribbean
2015,22,Latin America and Caribbean
2016,23,Latin America and Caribbean
2017,24,Latin America and Caribbean
2018,27,Latin America and Caribbean
2019,29,Latin America and Caribbean
2020,30,Latin America and Caribbean
2021,34,Latin America and Caribbean
2022,35,Latin America and Caribbean
2023,35,Latin America and Caribbean
2024,36,Latin America and Caribbean
2000,0,Middle East and North Africa
2001,0,Middle East and North Africa
2002,0,Middle East and North Africa
2003,0,Middle East and North Africa
2004,1,Middle East and North Africa
2005,1,Middle East and North Africa
2006,2,Middle East and North Africa
2007,3,Middle East and North Africa
2008,4,Middle East and North Africa
2009,5,Middle East and North Africa
2010,5,Middle East and North Africa
2011,5,Middle East and North Africa
2012,5,Middle East and North Africa
2013,5,Middle East and North Africa
2014,5,Middle East and North Africa
2015,5,Middle East and North Africa
2016,5,Middle East and North Africa
2017,8,Middle East and North Africa
2018,19,Middle East and North Africa
2019,21,Middle East and North Africa
2020,28,Middle East and North Africa
2021,34,Middle East and North Africa
2022,39,Middle East and North Africa
2023,41,Middle East and North Africa
2024,44,Middle East and North Africa
2000,6,Europe and Central Asia
2001,6,Europe and Central Asia
2002,7,Europe and Central Asia
2003,8,Europe and Central Asia
2004,11,Europe and Central Asia
2005,12,Europe and Central Asia
2006,16,Europe and Central Asia
2007,17,Europe and Central Asia
2008,20,Europe and Central Asia
2009,22,Europe and Central Asia
2010,22,Europe and Central Asia
2011,24,Europe and Central Asia
2012,25,Europe and Central Asia
2013,28,Europe and Central Asia
2014,30,Europe and Central Asia
2015,36,Europe and Central Asia
2016,39,Europe and Central Asia
2017,40,Europe and Central Asia
2018,44,Europe and Central Asia
2019,49,Europe and Central Asia
2020,52,Europe and Central Asia
2021,56,Europe and Central Asia
2022,60,Europe and Central Asia
2023,63,Europe and Central Asia
2024,66,Europe and Central Asia
2000,0,Sub-Saharan Africa
2001,1,Sub-Saharan Africa
2002,1,Sub-Saharan Africa
2003,1,Sub-Saharan Africa
2004,1,Sub-Saharan Africa
2005,1,Sub-Saharan Africa
2006,1,Sub-Saharan Africa
2007,2,Sub-Saharan Africa
2008,3,Sub-Saharan Africa
2009,4,Sub-Saharan Africa
2010,4,Sub-Saharan Africa
2011,5,Sub-Saharan Africa
2012,10,Sub-Saharan Africa
2013,17,Sub-Saharan Africa
2014,18,Sub-Saharan Africa
2015,22,Sub-Saharan Africa
2016,29,Sub-Saharan Africa
2017,31,Sub-Saharan Africa
2018,32,Sub-Saharan Africa
2019,40,Sub-Saharan Africa
2020,46,Sub-Saharan Africa
2021,56,Sub-Saharan Africa
2022,59,Sub-Saharan Africa
2023,63,Sub-Saharan Africa
2024,71,Sub-Saharan Africa
2000,6,East Asia and Pacific
2001,6,East Asia and Pacific
2002,7,East Asia and Pacific
2003,8,East Asia and Pacific
2004,9,East Asia and Pacific
2005,11,East Asia and Pacific
2006,13,East Asia and Pacific
2007,14,East Asia and Pacific
2008,14,East Asia and Pacific
2009,14,East Asia and Pacific
2010,15,East Asia and Pacific
2011,17,East Asia and Pacific
2012,21,East Asia and Pacific
2013,23,East Asia and Pacific
2014,25,East Asia and Pacific
2015,29,East Asia and Pacific
2016,35,East Asia and Pacific
2017,37,East Asia and Pacific
2018,42,East Asia and Pacific
2019,49,East Asia and Pacific
2020,52,East Asia and Pacific
2021,62,East Asia and Pacific
2022,66,East Asia and Pacific
2023,71,East Asia and Pacific
2024,77,East Asia and Pacific
