Country,2019,2020,2021,2022,2023,2024,2025
Afghanistan,0,0,0.0,0,0,0,0.0
Albania,0,0,0.0,0,0,0,0.0
Algeria,0,0,0.0,0,0,0,0.0
Andorra,0,0,0.0,0,0,0,0.0
Angola,0,0,0.0,0,0,0,0.0
Antigua and Barbuda,0,0,0.0,0,0,0,0.0
Argentina,0,100,100.0,100,100,100,100.0
Armenia,0,0,0.0,0,0,0,0.0
Australia,50,50,100.0,100,100,100,100.0
Austria,50,50,100.0,100,100,100,100.0
Azerbaijan,0,0,0.0,50,50,0,100.0
Bahamas,0,0,0.0,0,0,0,0.0
Bahrain,0,0,0.0,0,50,0,100.0
Bangladesh,0,0,0.0,100,100,100,100.0
Barbados,0,0,0.0,0,0,0,0.0
Belarus,0,0,0.0,0,0,0,0.0
Belgium,0,50,50.0,100,100,100,100.0
Belize,0,0,0.0,0,0,0,0.0
Benin,0,0,0.0,50,100,100,100.0
Bhutan,0,0,0.0,0,0,0,0.0
Bolivia (Plurinational State of),0,0,0.0,0,0,0,0.0
Bosnia and Herzegovina,0,0,0.0,0,0,0,0.0
Botswana,0,0,0.0,0,0,0,0.0
Brazil,0,50,100.0,100,100,100,100.0
Brunei Darussalam,0,0,0.0,0,0,0,0.0
Bulgaria,0,50,100.0,100,100,100,100.0
Burkina Faso,0,0,0.0,0,0,0,0.0
Burundi,0,0,0.0,0,0,0,0.0
Cabo Verde,0,0,0.0,0,0,0,0.0
Cambodia,0,0,0.0,0,0,0,0.0
Cameroon,0,0,0.0,0,0,0,100.0
Canada,100,100,100.0,100,100,100,100.0
Central African Republic,0,0,0.0,0,0,0,0.0
Chad,0,0,0.0,0,0,0,0.0
Chile,0,50,100.0,100,100,100,100.0
China,100,100,100.0,100,100,100,100.0
Colombia,0,100,100.0,100,100,100,100.0
Comoros,0,0,0.0,0,0,0,0.0
Congo,0,0,0.0,0,0,0,0.0
Costa Rica,0,0,0.0,0,50,100,100.0
Côte D'Ivoire,0,0,0.0,0,0,100,100.0
Croatia,0,50,50.0,0,0,0,0.0
Cuba,0,0,0.0,0,50,100,100.0
Cyprus,0,50,100.0,100,100,100,100.0
Czechia,50,100,100.0,100,100,100,100.0
Democratic Republic of the Congo,0,0,0.0,0,0,0,50.0
Denmark,100,100,100.0,100,100,100,100.0
Djibouti,0,0,0.0,0,0,0,0.0
Dominican Republic,0,0,0.0,0,100,100,100.0
Ecuador,0,0,0.0,0,0,0,0.0
Egypt,0,100,100.0,100,100,100,100.0
El Salvador,0,0,0.0,0,0,0,0.0
Equatorial Guinea,0,0,0.0,0,0,0,0.0
Eritrea,0,0,0.0,0,0,0,0.0
Estonia,50,100,100.0,100,100,100,100.0
Eswatini,0,0,0.0,0,0,0,0.0
Ethiopia,0,0,0.0,0,50,100,100.0
Fiji,0,0,0.0,0,0,0,0.0
Finland,100,100,100.0,100,100,100,100.0
France,100,100,100.0,100,100,100,100.0
Gabon,0,0,0.0,0,0,0,0.0
Gambia (Republic of The),0,0,0.0,0,0,0,0.0
Georgia,0,0,0.0,0,0,0,100.0
Germany,100,100,100.0,100,100,100,100.0
Ghana,0,0,0.0,50,0,100,100.0
Greece,0,0,50.0,50,100,100,100.0
Grenada,0,0,0.0,0,0,0,0.0
Guatemala,0,0,0.0,0,0,0,0.0
Guinea,0,0,0.0,0,0,0,0.0
Guinea Bissau,0,0,0.0,0,0,0,0.0
Guyana,0,0,0.0,0,0,0,0.0
Haiti,0,0,0.0,0,0,0,0.0
Honduras,0,0,0.0,0,0,0,0.0
Hungary,50,50,100.0,100,100,100,100.0
Iceland,50,0,0.0,0,100,100,100.0
India,100,100,100.0,100,100,100,100.0
Indonesia,0,0,100.0,100,100,100,100.0
Iran (Islamic Republic of),0,0,0.0,50,0,0,0.0
Iraq,0,0,0.0,0,50,50,50.0
Ireland,0,50,100.0,100,100,100,100.0
Israel,0,50,50.0,50,0,100,100.0
Italy,100,100,100.0,100,100,100,100.0
Jamaica,0,0,0.0,0,50,0,100.0
Japan,100,100,100.0,100,100,100,100.0
Jordan,0,0,0.0,100,100,100,100.0
Kazakhstan,0,0,0.0,0,0,50,50.0
Kenya,50,50,50.0,0,0,50,50.0
Kiribati,0,0,0.0,0,0,0,0.0
Kuwait,0,0,0.0,0,0,50,100.0
Kyrgyzstan,0,0,0.0,0,0,0,0.0
Lao People's Democratic Republic,0,0,0.0,0,0,0,0.0
Latvia,50,100,100.0,100,100,100,100.0
Lebanon,0,0,50.0,100,100,100,100.0
Lesotho,0,0,0.0,0,0,0,50.0
Liberia,0,0,0.0,0,0,0,0.0
Libya,0,0,0.0,0,0,0,100.0
Liechtenstein,0,0,0.0,0,0,0,0.0
Lithuania,100,100,100.0,100,100,100,100.0
Luxembourg,0,100,100.0,100,100,100,100.0
Madagascar,0,0,0.0,0,0,0,0.0
