metric,value,status,notes
panel_rows,151938,info,
snapshot_rows,53596,info,
wide_rows,231,info,
wide_columns,1196,info,
dictionary_variables,397,info,
traceability_rows,53202,info,
included_entities,231,info,
panel_duplicate_cell_id,0,pass,
trace_duplicate_cell_id_wide,0,pass,
dictionary_duplicate_variable,0,pass,
panel_rows_iapp,532,info,
panel_rows_microsoft,441,info,
panel_rows_oxford,24002,info,
panel_rows_wb,46475,info,
panel_rows_wipo,68047,info,
panel_rows_stanford,1153,info,
panel_rows_oecd,9929,info,
panel_rows_anthropic,1359,info,
traceability_blocking_issues,0,pass,
