atributo,fuente,descripcion,año,tipo
iso3,ISO 3166-1,Codigo ISO 3166-1 alpha-3 del pais,estandar,string
country_name,ISO 3166-1,Nombre oficial del pais en ingles,estandar,string
region,WIPO/Oxford,Region geografica segun clasificacion ONU,estandar,categorical
income_group,WIPO/Banco Mundial,"Grupo de ingreso: HI (High Income), UM (Upper Middle), LM (Lower Middle), LI (Low Income)",estandar,categorical
iapp_has_ai_law,IAPP Global AI Law & Policy Tracker,"Existe ley IA especifica vinculante. 0=no, 1=si",2026-02,integer(0/1)
iapp_regulatory_approach,IAPP,Enfoque regulatorio: none/light_touch/strategy_led/regulation_focused/comprehensive,2026-02,categorical
iapp_regulatory_intensity,IAPP,"Intensidad regulatoria en escala 0-10. Suma ponderada de: existencia ley (0-3), obligaciones (0-3), sanciones (0-2), autoridad (0-2)",2026-02,integer(0-10)
iapp_year_enacted,IAPP,Ano de promulgacion de la ley IA principal. NULL si no hay ley,2026-02,integer
iapp_enforcement_level,IAPP,Nivel de enforcement: none/low/medium/high,2026-02,categorical
iapp_thematic_coverage,IAPP,"Numero de temas regulatorios cubiertos (0-15): transparency, bias, privacy, safety, accountability, human_oversight, risk_assessment, sectoral, high_risk, foundation_models, copyright, deepfakes, labor, procurement, sandboxes",2026-02,integer(0-15)
iapp_evidence_summary,IAPP,Resumen cualitativo de la regulacion IA del pais,2026-02,text
iapp_source,IAPP,Fuente de codificacion: IAPP_Global_AI_Law_Policy_Tracker o IAPP_supplementary_research,2026-02,string
iapp_source_date,IAPP,Fecha de version del tracker (YYYY-MM),2026-02,string
oxford_readiness_score,Oxford Insights Government AI Readiness Index 2025,Indice compuesto de preparacion gubernamental para IA. Escala 0-100. Promedio de 6 pilares.,2025,float(0-100)
oxford_rank,Oxford Insights,Ranking global reportado por Oxford Insights,2025,integer
oxford_pillar_policy_capacity,Oxford Insights,Pilar: Capacidad de politicas publicas para IA. Escala 0-100.,2025,float(0-100)
oxford_pillar_ai_infrastructure,Oxford Insights,Pilar: Infraestructura de IA. Escala 0-100.,2025,float(0-100)
oxford_pillar_governance,Oxford Insights,Pilar: Gobernanza de IA. Escala 0-100.,2025,float(0-100)
oxford_pillar_public_sector_adoption,Oxford Insights,Pilar: Adopcion en sector publico. Escala 0-100.,2025,float(0-100)
oxford_pillar_development_and_diffusion,Oxford Insights,Pilar: Desarrollo y difusion de IA. Escala 0-100.,2025,float(0-100)
oxford_pillar_resilience,Oxford Insights,Pilar: Resiliencia. Escala 0-100.,2025,float(0-100)
oxford_dimension_policy_vision,Oxford Insights,Dimension: Vision de politica publica. Escala 0-100.,2025,float(0-100)
oxford_dimension_policy_commitment,Oxford Insights,Dimension: Compromiso con politica. Escala 0-100.,2025,float(0-100)
oxford_dimension_compute_capacity,Oxford Insights,Dimension: Capacidad de computo. Escala 0-100.,2025,float(0-100)
oxford_dimension_enabling_technical_infrastructure,Oxford Insights,Dimension: Infraestructura tecnica habilitante. Escala 0-100.,2025,float(0-100)
oxford_dimension_data_quality,Oxford Insights,Dimension: Calidad de datos. Escala 0-100.,2025,float(0-100)
oxford_dimension_governance_principles,Oxford Insights,Dimension: Principios de gobernanza. Escala 0-100.,2025,float(0-100)
oxford_dimension_regulatory_compliance,Oxford Insights,Dimension: Cumplimiento regulatorio. Escala 0-100.,2025,float(0-100)
oxford_dimension_government_digital_policy,Oxford Insights,Dimension: Politica digital gubernamental. Escala 0-100.,2025,float(0-100)
oxford_dimension_e_government_delivery,Oxford Insights,Dimension: Gobierno electronico. Escala 0-100.,2025,float(0-100)
oxford_dimension_ai_sector_maturity,Oxford Insights,Dimension: Madurez del sector IA. Escala 0-100.,2025,float(0-100)
oxford_dimension_ai_technology_diffusion,Oxford Insights,Dimension: Difusion de tecnologia IA. Escala 0-100.,2025,float(0-100)
oxford_dimension_societal_transition,Oxford Insights,Dimension: Transicion societal. Escala 0-100.,2025,float(0-100)
oxford_dimension_safety_and_security,Oxford Insights,Dimension: Seguridad y proteccion. Escala 0-100.,2025,float(0-100)
oxford_dimension_human_capital,Oxford Insights,Dimension: Capital humano. Escala 0-100.,2025,float(0-100)
ms_ai_adoption_h1_2025,Microsoft AI for Good Institute,"Porcentaje de adopcion de IA generativa en empresas, primera mitad 2025",H1_2025,float(0-100)
ms_ai_adoption_h2_2025,Microsoft AIEI,"Porcentaje de adopcion de IA generativa en empresas, segunda mitad 2025",H2_2025,float(0-100)
ms_ai_adoption_change_pp,Microsoft AIEI,Cambio en puntos porcentuales de adopcion H1->H2 2025,2025,float
stanford_ai_investment_cumulative_2013_2024_bn,"Stanford AI Index 2025, Fig 4.3.9","Inversion privada acumulada en IA 2013-2024, en miles de millones de USD",2013-2024,float(USD billions)
