ISO3,País,Ley_Vigente,Proy_de_Ley,Estrategia,Guía_Softlaw,Autoridad_Dedicada,Justificación_Notas
AUT,Austria,0,1,1,1,1,"Cubierto por el EU AI Act (en fase de aplicación progresiva plena hacia ago 2026). Proyectos locales de adecuación en curso."
BEL,Bélgica,0,1,1,1,1,"Cubierto por el EU AI Act (en fase de aplicación progresiva plena hacia ago 2026). Proyectos locales de adecuación en curso."
BGR,Bulgaria,0,1,1,1,1,"Cubierto por el EU AI Act (en fase de aplicación progresiva plena hacia ago 2026). Proyectos locales de adecuación en curso."
HRV,Croacia,0,1,1,1,1,"Cubierto por el EU AI Act (en fase de aplicación progresiva plena hacia ago 2026). Proyectos locales de adecuación en curso."
CZE,República Checa,0,1,1,1,1,"Cubierto por el EU AI Act (en fase de aplicación progresiva plena hacia ago 2026). Proyectos locales de adecuación en curso."
DNK,Dinamarca,0,1,1,1,1,"Cubierto por el EU AI Act (en fase de aplicación progresiva plena hacia ago 2026). Proyectos locales de adecuación en curso."
EST,Estonia,0,1,1,1,1,"Cubierto por el EU AI Act (en fase de aplicación progresiva plena hacia ago 2026). Proyectos locales de adecuación en curso."
FIN,Finlandia,0,1,1,1,1,"Cubierto por el EU AI Act (en fase de aplicación progresiva plena hacia ago 2026). Proyectos locales de adecuación en curso."
FRA,Francia,0,1,1,1,1,"Cubierto por el EU AI Act. Aplicación progresiva en curso; adecuando CNIL como autoridad designada."
DEU,Alemania,0,1,1,1,1,"Cubierto por el EU AI Act. Aplicación progresiva en curso; adecuación local mediante proyectos de ley."
GRC,Grecia,0,1,1,1,1,"Cubierto por el EU AI Act (en fase de aplicación progresiva plena hacia ago 2026). Proyectos locales de adecuación en curso."
HUN,Hungría,0,1,1,1,1,"Cubierto por el EU AI Act (en fase de aplicación progresiva plena hacia ago 2026). Proyectos locales de adecuación en curso."
IRL,Irlanda,0,1,1,1,1,"Cubierto por el EU AI Act (en fase de aplicación progresiva plena hacia ago 2026). Proyectos locales de adecuación en curso."
ITA,Italia,0,1,1,1,1,"Cubierto por EU AI Act (aplicación progresiva). Leyes penales locales introducidas para deepfakes."
NLD,Países Bajos,0,1,1,1,1,"Cubierto por el EU AI Act (en fase de aplicación progresiva plena hacia ago 2026). Proyectos locales de adecuación en curso."
POL,Polonia,0,1,1,1,1,"Cubierto por el EU AI Act (en fase de aplicación progresiva plena hacia ago 2026). Proyectos locales de adecuación en curso."
ROU,Rumania,0,1,1,1,1,"Cubierto por el EU AI Act (en fase de aplicación progresiva plena hacia ago 2026). Proyectos locales de adecuación en curso."
ESP,España,0,1,1,1,1,"Cubierto por el EU AI Act (en fase de aplicación progresiva plena hacia ago 2026). Tienen la AESIA operando."
SWE,Suecia,0,1,1,1,1,"Cubierto por el EU AI Act (en fase de aplicación progresiva plena hacia ago 2026). Proyectos locales de adecuación en curso."
GBR,Reino Unido,0,1,1,1,1,"Correcto. Sin ley general vinculante. Operan con Whitepaper sectorial, el AI Safety Institute y Private Members Bills en debate."
CHE,Suiza,0,1,1,1,0,"El Consejo Federal instruyó al Min. de Justicia redactar un borrador de ley para finales de 2026 (implementando el Convenio Europeo de IA). En fase de draft inicial."
