ISO3,ECONOMY_NAME,NUM,NAME,DATAYR,VALUE_SCREEN,SCORE,RANK,SW_OVERALL,SW_INCGRP,OUTDATED,DMC,YEAR,ARCHIVO
ALB,Albania,,Global Innovation Index,,,24.537929796008,84,,,,,2024,wipo-pub-2000-2024-tech1.xlsx
ALB,Albania,IN,Innovation inputs,,,35.0431946137636,66,,,,,2024,wipo-pub-2000-2024-tech1.xlsx
ALB,Albania,IN.1,Institutions,,,50.3217599283767,60,,,,0,2024,wipo-pub-2000-2024-tech1.xlsx
ALB,Albania,IN.1.1,Institutional environment,,,55.1743445962161,60,,,,0,2024,wipo-pub-2000-2024-tech1.xlsx
ALB,Albania,IN.1.1.1,Operational stability for businesses*,2023,2.025,64.6666666666667,61,,,0,,2024,wipo-pub-2000-2024-tech1.xlsx
ALB,Albania,IN.1.1.2,Government effectiveness*,2022,0.0650628432631493,45.6820225257655,62,,,0,,2024,wipo-pub-2000-2024-tech1.xlsx
ALB,Albania,IN.1.2,Regulatory environment,,,42.5517615203939,67,,,,0,2024,wipo-pub-2000-2024-tech1.xlsx
ALB,Albania,IN.1.2.1,Regulatory quality*,2022,0.159353822469711,46.0211157670283,64,,,0,,2024,wipo-pub-2000-2024-tech1.xlsx
ALB,Albania,IN.1.2.2,Rule of law*,2022,-0.16577909886837,39.0824072737596,73,,,0,,2024,wipo-pub-2000-2024-tech1.xlsx
ALB,Albania,IN.1.3,Business environment,,,53.23917366852,53,,,,1,2024,wipo-pub-2000-2024-tech1.xlsx
ALB,Albania,IN.1.3.1,Policy stability for doing business†,2022,4.23114906832298,53.23917366852,53,,,1,,2024,wipo-pub-2000-2024-tech1.xlsx
ALB,Albania,IN.1.3.2,Entrepreneurship policies and culture†,,,,,,,,,2024,wipo-pub-2000-2024-tech1.xlsx
ALB,Albania,IN.2,Human capital and research,,,21.5689899382034,101,,W,,0,2024,wipo-pub-2000-2024-tech1.xlsx
ALB,Albania,IN.2.1,Education,,,37.4280922801946,108,,W,,0,2024,wipo-pub-2000-2024-tech1.xlsx
ALB,Albania,IN.2.1.1,"Expenditure on education, % GDP",2022,2.74931001663208,19.7490123216326,108,,,0,,2024,wipo-pub-2000-2024-tech1.xlsx
ALB,Albania,IN.2.1.2,"Government funding/pupil, secondary, % GDP/cap",2019,9.81437969207764,8.70700993770398,87,,W,1,,2024,wipo-pub-2000-2024-tech1.xlsx
ALB,Albania,IN.2.1.3,"School life expectancy, years",2022,14.4874696731567,55.8050047918569,60,,,0,,2024,wipo-pub-2000-2024-tech1.xlsx
ALB,Albania,IN.2.1.4,"PISA scales in reading, maths and science",2022,367.541409684511,12.4570615174179,76,,,0,,2024,wipo-pub-2000-2024-tech1.xlsx
