metric,value,status,notes
panel_rows,151938.0,info,
snapshot_rows,53596.0,info,
wide_rows,199.0,info,
wide_columns,1203.0,info,
dictionary_variables,397.0,info,
traceability_rows,53178.0,info,
included_entities,199.0,info,
wide_zero_value_entities,0.0,pass,
variables_under_30pct_complete,48.0,warn,
core_eda_variables,198.0,info,
panel_duplicate_cell_id,0.0,pass,
trace_duplicate_cell_id_wide,0.0,pass,
dictionary_duplicate_variable,0.0,pass,
panel_rows_iapp,532.0,info,
panel_rows_microsoft,441.0,info,
panel_rows_oxford,24002.0,info,
panel_rows_wb,46475.0,info,
panel_rows_wipo,68047.0,info,
panel_rows_stanford,1153.0,info,
panel_rows_oecd,9929.0,info,
panel_rows_anthropic,1359.0,info,
variables_block_adoption_diffusion,14.0,info,
variables_block_ecosystem_outcome,124.0,info,
variables_block_institutional_control,31.0,info,
variables_block_regulatory_treatment,33.0,info,
variables_block_socioeconomic_control,28.0,info,
variables_block_tech_infrastructure_control,167.0,info,
countries_with_any_adoption_diffusion,91.96,info,percent of wide rows with >=1 value in block
countries_with_any_ecosystem_outcome,98.49,info,percent of wide rows with >=1 value in block
countries_with_any_institutional_control,98.99,info,percent of wide rows with >=1 value in block
countries_with_any_regulatory_treatment,75.88,info,percent of wide rows with >=1 value in block
countries_with_any_socioeconomic_control,99.5,info,percent of wide rows with >=1 value in block
countries_with_any_tech_infrastructure_control,100.0,info,percent of wide rows with >=1 value in block
traceability_blocking_issues,0.0,pass,
