iso3,country_name_canonical,region,income_group,densa_80,densa_60,regulada,comparable_chile,oecd_plus_latam,full
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,0,0,0,0,0,1
AGO,Angola,Sub-Saharan Africa ,Lower middle income,0,1,0,0,0,1
ALB,Albania,Europe & Central Asia,Upper middle income,1,1,0,1,0,1
AND,Andorra,Europe & Central Asia,High income,0,0,0,1,0,1
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,1,1,1,0,0,1
ARG,Argentina,Latin America & Caribbean ,Upper middle income,1,1,1,1,1,1
ARM,Armenia,Europe & Central Asia,Upper middle income,1,1,0,1,0,1
ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,0,0,0,0,0,1
AUS,Australia,East Asia & Pacific,High income,1,1,1,0,1,1
AUT,Austria,Europe & Central Asia,High income,1,1,0,0,1,1
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,1,1,0,0,0,1
BDI,Burundi,Sub-Saharan Africa ,Low income,0,0,0,0,0,1
BEL,Belgium,Europe & Central Asia,High income,1,1,0,0,1,1
BEN,Benin,Sub-Saharan Africa ,Lower middle income,0,1,0,0,0,1
BFA,Burkina Faso,Sub-Saharan Africa ,Low income,1,1,0,0,0,1
BGD,Bangladesh,South Asia,Lower middle income,1,1,1,0,0,1
BGR,Bulgaria,Europe & Central Asia,High income,1,1,0,1,0,1
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,1,1,0,1,0,1
BHS,The Bahamas,Latin America & Caribbean ,High income,0,0,0,1,0,1
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,1,1,0,0,0,1
BLR,Belarus,Europe & Central Asia,Upper middle income,1,1,0,0,0,1
BLZ,Belize,Latin America & Caribbean ,Upper middle income,0,0,0,0,0,1
BOL,Bolivia,Latin America & Caribbean ,Lower middle income,0,1,0,0,1,1
BRA,Brazil,Latin America & Caribbean ,Upper middle income,1,1,1,1,1,1
BRB,Barbados,Latin America & Caribbean ,High income,0,0,0,0,0,1
BRN,Brunei,East Asia & Pacific,High income,0,1,0,0,0,1
BTN,Bhutan,South Asia,Lower middle income,0,0,0,1,0,1
BWA,Botswana,Sub-Saharan Africa ,Upper middle income,1,1,0,0,0,1
CAF,Central African Republic (the),Sub-Saharan Africa ,Low income,0,0,0,0,0,1
CAN,Canada,North America,High income,1,1,1,0,1,1
CHE,Switzerland,Europe & Central Asia,High income,1,1,0,0,1,1
CHL,Chile,Latin America & Caribbean ,High income,1,1,1,1,1,1
CHN,China,East Asia & Pacific,Upper middle income,1,1,1,0,0,1
CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,1,1,0,0,0,1
CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,1,1,0,0,0,1
COD,Democratic Republic of the Congo,Sub-Saharan Africa ,Low income,0,0,0,0,0,1
COG,Republic of the Congo,Sub-Saharan Africa ,Lower middle income,0,0,0,0,0,1
COL,Colombia,Latin America & Caribbean ,Upper middle income,1,1,1,1,1,1
COM,Comoros (the),Sub-Saharan Africa ,Lower middle income,0,0,0,0,0,1
CPV,Cabo Verde,Sub-Saharan Africa ,Upper middle income,0,1,0,0,0,1
CRI,Costa Rica,Latin America & Caribbean ,High income,1,1,0,1,1,1
CUB,Cuba,Latin America & Caribbean ,Upper middle income,0,0,0,0,0,1
CYP,Cyprus,Europe & Central Asia,High income,1,1,0,0,0,1
CZE,Czech Republic,Europe & Central Asia,High income,1,1,0,0,1,1
DEU,Germany,Europe & Central Asia,High income,1,1,0,0,1,1
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0,0,0,0,0,1
DMA,Dominica,Latin America & Caribbean ,Upper middle income,0,0,0,0,0,1
DNK,Denmark,Europe & Central Asia,High income,1,1,0,0,1,1
DOM,Dominican Republic (the),Latin America & Caribbean ,Upper middle income,1,1,0,0,0,1
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,1,1,0,0,0,1
ECU,Ecuador,Latin America & Caribbean ,Upper middle income,1,1,0,0,1,1
EGY,Egypt,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,1,1,1,0,0,1
ERI,Eritrea,Sub-Saharan Africa ,Low income,0,0,0,0,0,1
ESP,Spain,Europe & Central Asia,High income,1,1,0,1,1,1
EST,Estonia,Europe & Central Asia,High income,1,1,0,0,1,1
