Year,Number of notable AI models,Label
2005,1,Europe
2006,5,Europe
2007,4,Europe
2008,1,Europe
2011,4,Europe
2012,4,Europe
2013,5,Europe
2014,9,Europe
2015,6,Europe
2016,6,Europe
2017,9,Europe
2018,4,Europe
2019,13,Europe
2020,7,Europe
2021,13,Europe
2022,7,Europe
2023,16,Europe
2024,6,Europe
2025,2,Europe
2014,3,China
2015,4,China
2016,4,China
2017,10,China
2018,1,China
2019,6,China
2020,8,China
2021,16,China
2022,12,China
2023,21,China
2024,29,China
2025,30,China
2003,2,United States
2004,1,United States
2005,1,United States
2006,3,United States
2007,4,United States
2008,1,United States
2009,8,United States
2010,4,United States
2011,5,United States
2012,6,United States
2013,14,United States
2014,18,United States
2015,20,United States
2016,40,United States
2017,38,United States
2018,31,United States
2019,59,United States
2020,41,United States
2021,61,United States
2022,76,United States
2023,87,United States
2024,57,United States
2025,50,United States
