Year,Number of attendees (in thousands),Label
2010,0.175,KR
2012,0.19,KR
2014,0.171,KR
2016,0.157,KR
2018,0.171,KR
2020,0.469,KR
2021,0.666,KR
2022,0.123,KR
2023,0.247,KR
2024,0.197,KR
2025,0.182,KR
2011,0.206,ICAPS
2012,0.225,ICAPS
2013,0.133,ICAPS
2014,0.214,ICAPS
2015,0.222,ICAPS
2016,0.16,ICAPS
2017,0.226,ICAPS
2018,0.201,ICAPS
2019,0.262,ICAPS
2020,0.283,ICAPS
2021,0.45,ICAPS
2022,0.513,ICAPS
2023,0.393,ICAPS
2024,0.24,ICAPS
2025,0.271,ICAPS
2021,0.488,IUI
2022,0.389,IUI
2023,0.245,IUI
2024,0.214,IUI
2025,0.304,IUI
2017,0.201,UAI
2018,0.359,UAI
2019,0.334,UAI
2020,0.352,UAI
2021,2.099,UAI
2022,0.655,UAI
2023,0.477,UAI
2024,0.426,UAI
2025,0.39,UAI
2010,0.593,AAMAS
2011,0.45,AAMAS
2012,0.577,AAMAS
2013,0.552,AAMAS
2014,0.798,AAMAS
2015,0.424,AAMAS
2016,0.461,AAMAS
2017,0.415,AAMAS
2018,0.67,AAMAS
2019,0.701,AAMAS
2020,3.726,AAMAS
2021,1.076,AAMAS
2022,0.5,AAMAS
2023,0.975,AAMAS
2024,0.63,AAMAS
2025,0.6,AAMAS
2019,0.5,FaccT
2020,0.686,FaccT
2021,1.345,FaccT
2022,1.091,FaccT
2023,0.828,FaccT
2024,0.689,FaccT
2025,0.626,FaccT
