Year,Percentage of United States AI job postings,Label
2010,0.020329293,Washington
2011,0.035367502,Washington
2012,0.048063975,Washington
2013,0.052542675,Washington
2014,0.048588662,Washington
2015,0.047113048,Washington
2016,0.05199705,Washington
2017,0.056891216,Washington
2018,0.048506157,Washington
2019,0.039569312,Washington
2020,0.043475107,Washington
2021,0.039369341,Washington
2022,0.039320081,Washington
2023,0.03192585,Washington
2024,0.047174997,Washington
2025,0.039340408,Washington
2010,0.039903956,New York
2011,0.048718658,New York
2012,0.064373849,New York
2013,0.072812704,New York
2014,0.073572893,New York
2015,0.08619231,New York
2016,0.07555316,New York
2017,0.080301078,New York
2018,0.070374384,New York
2019,0.076858807,New York
2020,0.061605604,New York
2021,0.060673468,New York
2022,0.05517556,New York
2023,0.052896092,New York
2024,0.057617668,New York
2025,0.066402714,New York
2010,0.026892294,Texas
2011,0.046106809,Texas
2012,0.046483828,Texas
2013,0.05349432,Texas
2014,0.060533785,Texas
2015,0.056906552,Texas
2016,0.057511631,Texas
2017,0.05659572,Texas
2018,0.069460778,Texas
2019,0.076214328,Texas
2020,0.083710438,Texas
2021,0.088972352,Texas
2022,0.083738047,Texas
2023,0.078948452,Texas
2024,0.087746072,Texas
2025,0.081002884,Texas
2010,0.104379145,California
2011,0.186163348,California
2012,0.266316744,California
2013,0.213382502,California
2014,0.206930537,California
2015,0.231172716,California
2016,0.224151821,California
2017,0.205628381,California
2018,0.225216009,California
2019,0.246192957,California
2020,0.208769384,California
2021,0.19506813,California
2022,0.178669824,California
2023,0.153135671,California
2024,0.156974131,California
2025,0.171848161,California
