Year,AI job postings (% of all job postings),Label
2014,0.0038129999999999995,United Kingdom
2015,0.00436,United Kingdom
2016,0.004902,United Kingdom
2017,0.006583,United Kingdom
2018,0.007428000000000001,United Kingdom
2019,0.008606,United Kingdom
2020,0.010545,United Kingdom
2021,0.010878,United Kingdom
2022,0.011659,United Kingdom
2023,0.007905,United Kingdom
2024,0.01052,United Kingdom
2025,0.01928,United Kingdom
2014,,Chile
2015,,Chile
2016,,Chile
2017,,Chile
2018,,Chile
2019,,Chile
2020,0.003723386161981689,Chile
2021,0.0032695826226480963,Chile
2022,0.003804102428472665,Chile
2023,0.003974605987403299,Chile
2024,0.0037523488920283648,Chile
2025,0.02412429418861136,Chile
2014,0.005615,United States
2015,0.00644,United States
2016,0.006716,United States
2017,0.008758,United States
2018,0.011462000000000002,United States
2019,0.012778000000000001,United States
2020,0.011605,United States
2021,0.013056000000000002,United States
2022,0.01489,United States
2023,0.012642,United States
2024,0.016524,United States
2025,0.025554,United States
2014,0.002671136018436076,Sweden
2015,0.002009378926706946,Sweden
2016,0.0026198174095921527,Sweden
2017,0.004142932234844828,Sweden
2018,0.006225824192786734,Sweden
2019,0.00880663130593741,Sweden
2020,0.01048232843167116,Sweden
2021,0.012099829066026739,Sweden
2022,0.011470551262081382,Sweden
2023,0.01262951937724484,Sweden
2024,0.01738652298722582,Sweden
2025,0.027679512482347342,Sweden
2014,,United Arab Emirates
2015,,United Arab Emirates
2016,,United Arab Emirates
2017,,United Arab Emirates
2018,,United Arab Emirates
2019,,United Arab Emirates
2020,0.007904223047294117,United Arab Emirates
2021,0.008561402290419259,United Arab Emirates
2022,0.01411546331718443,United Arab Emirates
2023,0.01290426780228618,United Arab Emirates
2024,0.01705807126084085,United Arab Emirates
2025,0.02871788444667251,United Arab Emirates
2014,,Poland
2015,,Poland
2016,,Poland
2017,,Poland
2018,0.001960821915181268,Poland
2019,0.003503959809357804,Poland
2020,0.0035091656430123793,Poland
2021,0.007808613923470933,Poland
2022,0.01028330375878688,Poland
2023,0.00918272062520651,Poland
2024,0.01704953679416945,Poland
2025,0.029166506453390747,Poland
2014,0.003498,Canada
2015,0.004005,Canada
2016,0.005208000000000001,Canada
2017,0.006848999999999999,Canada
2018,0.007895,Canada
2019,0.009116,Canada
2020,0.009586,Canada
2021,0.011837,Canada
2022,0.011328,Canada
2023,0.009675,Canada
2024,0.01303,Canada
2025,0.030013,Canada
2014,,Spain
2015,,Spain
2016,,Spain
2017,,Spain
2018,0.009612001021937922,Spain
2019,0.01139413677954664,Spain
2020,0.01218938813262479,Spain
2021,0.01950890555953138,Spain
2022,0.020180896841488282,Spain
2023,0.01750834526271382,Spain
2024,0.021613107537983168,Spain
2025,0.03314903897075144,Spain
2014,,Luxembourg
2015,,Luxembourg
2016,,Luxembourg
2017,,Luxembourg
2018,0.01539887727249318,Luxembourg
2019,0.01691506478109916,Luxembourg
2020,0.0244326202627864,Luxembourg
2021,0.0214240859899363,Luxembourg
2022,0.01909122322045611,Luxembourg
2023,0.01780633611457434,Luxembourg
2024,0.02390735536389185,Luxembourg
2025,0.034337112997500883,Luxembourg
2014,,Hong Kong
2015,,Hong Kong
2016,,Hong Kong
2017,,Hong Kong
2018,,Hong Kong
2019,,Hong Kong
2020,0.02028721331713057,Hong Kong
2021,0.018338885025074123,Hong Kong
2022,0.01729926360457498,Hong Kong
2023,0.017173069703416338,Hong Kong
2024,0.020070773796820637,Hong Kong
2025,0.03475567330336117,Hong Kong
2014,0.0033926564654863938,Singapore
2015,0.004938914366000299,Singapore
2016,0.006669913768169475,Singapore
2017,0.01343145276564703,Singapore
2018,0.021162352058768378,Singapore
2019,0.02943953534737974,Singapore
2020,0.04381519429482284,Singapore
2021,0.032930475259224205,Singapore
2022,0.029975239093911574,Singapore
2023,0.02313720356018953,Singapore
2024,0.02828714395452639,Singapore
2025,0.046885763525423056,Singapore
